fecha,anio,mes,banco,indicador,monto_miles
31/12/2024,2024,12,INTERBANK,TOTAL_ACTIVOS,50882485.835
31/12/2024,2024,12,INTERBANK,PATRIMONIO,8468315.748
31/12/2024,2024,12,INTERBANK,UTILIDAD_NETA,933669.745
31/12/2024,2024,12,MIBANCO,TOTAL_ACTIVOS,15564988.314
31/12/2024,2024,12,MIBANCO,PATRIMONIO,2541780.024
31/12/2024,2024,12,MIBANCO,UTILIDAD_NETA,311969.33
31/12/2024,2024,12,PICHINCHA,TOTAL_ACTIVOS,8040577.804
31/12/2024,2024,12,PICHINCHA,PATRIMONIO,1138205.627
31/12/2024,2024,12,PICHINCHA,UTILIDAD_NETA,-58613.351
31/12/2024,2024,12,RIPLEY,TOTAL_ACTIVOS,1811575.993
31/12/2024,2024,12,RIPLEY,PATRIMONIO,379798.119
31/12/2024,2024,12,RIPLEY,UTILIDAD_NETA,-7362.22
31/12/2024,2024,12,SANTANDER,TOTAL_ACTIVOS,3750667.952
31/12/2024,2024,12,SANTANDER,PATRIMONIO,1410781.122
31/12/2024,2024,12,SANTANDER,UTILIDAD_NETA,237722.681
31/12/2024,2024,12,SCOTIABANK,TOTAL_ACTIVOS,46917082.124
31/12/2024,2024,12,SCOTIABANK,PATRIMONIO,11908316.989
31/12/2024,2024,12,SCOTIABANK,UTILIDAD_NETA,957612.851
